# 40m seismic noise from elog
# Charles
# 2013-06-28
# https://nodus.ligo.caltech.edu:8081/40m/8786
# Frequency__Hz, Mean_Displacement__m_per_rtHz, stdev_Displacement__m_per_rtHz
0.0119531249, 7.04296377443729e-07, 4.10250191576674e-07
0.015859375, 4.55904001653933e-07, 2.10317603783001e-07
0.019765625, 4.05896102169784e-07, 2.05379665539502e-07
0.023671875, 3.50779230494988e-07, 2.0653415412328e-07
0.027578125, 2.70415831252893e-07, 1.53226239736518e-07
0.031484376, 2.35870536521592e-07, 1.52019838523254e-07
0.035390627, 1.89471952652468e-07, 1.30036035908269e-07
0.039296877, 1.2128485861825e-07, 7.68941452328625e-08
0.043203127, 1.02713548747839e-07, 7.30631095340018e-08
0.047109377, 9.37037136710074e-08, 7.02156064940726e-08
0.051015627, 7.2290871049208e-08, 4.96081731658172e-08
0.054921877, 6.20613298363751e-08, 4.32681400505484e-08
0.058828127, 5.55133252126305e-08, 4.36989015631765e-08
0.062734375, 4.31416688247902e-08, 3.14379221459911e-08
0.066640623, 3.53989498188938e-08, 2.30008381901235e-08
0.070546873, 2.99681081653943e-08, 1.9880787743467e-08
0.074453123, 2.36113129797038e-08, 1.55085440044099e-08
0.078359373, 1.96940846059531e-08, 1.26815748074898e-08
0.082265623, 1.56288279279324e-08, 9.07681513613464e-09
0.086171873, 1.29570437243651e-08, 7.7229069264876e-09
0.090078123, 1.2476547839701e-08, 8.37315433520828e-09
0.093984373, 1.34683229586911e-08, 1.05504927855779e-08
0.097890623, 1.37710889049485e-08, 1.16452988129741e-08
0.101796874, 1.25546967072871e-08, 9.86948615940629e-09
0.105703125, 1.2925790110862e-08, 8.7612818373374e-09
0.109609375, 1.36763484713179e-08, 7.19171697103059e-09
0.113515625, 1.44027653330564e-08, 3.69977198287592e-09
0.117421875, 1.76798033664019e-08, 1.8437670280723e-09
0.121328125, 2.78748962909535e-08, 2.40447087608621e-09
0.12523438, 4.39926582870721e-08, 1.32870043383714e-09
0.129140635, 6.07158147992687e-08, 2.92279100331085e-09
0.133046885, 7.89107468317461e-08, 5.11027611529857e-09
0.136953135, 1.17592519157056e-07, 6.28841983660861e-09
0.140859385, 1.76591222257342e-07, 2.17735893165178e-08
0.144765635, 2.44933322074177e-07, 2.87758576895948e-08
0.148671885, 2.69536151767105e-07, 1.95380164573129e-08
0.152578135, 2.51577977561898e-07, 2.32018555675175e-08
0.156484385, 2.29975447611024e-07, 4.55232454569817e-08
0.160390635, 1.92823627313658e-07, 4.91318505342106e-08
0.164296885, 1.68565550297347e-07, 3.18492993412438e-08
0.168203135, 1.44492005436216e-07, 1.13296589121135e-08
0.172109385, 1.10313441483229e-07, 2.70402963637192e-09
0.176015635, 8.50599620750943e-08, 1.11518662552231e-08
0.179921885, 6.42756709898607e-08, 6.06510145106087e-09
0.183828135, 5.23984285377682e-08, 7.01700563282028e-09
0.187734385, 4.81389296482539e-08, 1.35054832348535e-08
0.191640635, 3.87742308682678e-08, 9.90167198427109e-09
0.195546885, 2.64284096429488e-08, 4.50201795611054e-09
0.199453135, 2.01271935559565e-08, 3.14687766641529e-09
0.203359385, 1.72112627627675e-08, 2.51754467767866e-09
0.207265635, 1.40330013797061e-08, 2.6611840149318e-09
0.211171885, 1.28586705234598e-08, 3.22084863234907e-09
0.215078135, 1.19356543868374e-08, 1.40602960988669e-09
0.218984385, 1.00978546638914e-08, 1.33481101466296e-09
0.222890635, 9.22771483480542e-09, 1.77504269654475e-09
0.226796885, 8.67036857575669e-09, 1.72023938353815e-09
0.230703135, 7.22397400858397e-09, 1.83601805162517e-09
0.234609385, 6.14818022502105e-09, 1.35389492775368e-09
0.238515635, 5.9967353099864e-09, 6.20634187495036e-10
0.242421885, 5.8778742035202e-09, 3.34735634276311e-10
0.246328135, 5.39732905540345e-09, 4.37972100403756e-10
0.250234375, 5.13284379680851e-09, 8.67531646736848e-10
0.254140615, 5.37642944325305e-09, 1.01215159206466e-09
0.258046865, 5.2386976920419e-09, 7.87220117796013e-10
0.261953115, 5.31678128432642e-09, 7.15541997247151e-10
0.265859365, 5.47612179044728e-09, 7.77828970887531e-10
0.269765615, 4.91452814100219e-09, 9.33408336351082e-10
0.273671865, 4.38034078858307e-09, 1.0992598027809e-09
0.277578115, 4.29810690028398e-09, 1.40653341488443e-09
0.281484365, 4.25993853267952e-09, 1.1092570639834e-09
0.285390615, 4.02657734357805e-09, 6.31263006195778e-10
0.289296865, 3.73236401866327e-09, 6.8611578807592e-10
0.293203115, 3.48524910344388e-09, 1.09455584722091e-09
0.297109365, 3.36750695306008e-09, 9.38039451476034e-10
0.301015615, 3.1566272400279e-09, 7.08984454117282e-10
0.304921865, 2.89661482436902e-09, 5.92529413970258e-10
0.308828115, 2.69403882957112e-09, 2.74115326255873e-10
0.312734365, 2.66559172439855e-09, 2.67849753971114e-10
0.316640615, 2.72040936802781e-09, 5.12883448190165e-10
0.320546865, 2.49571870954015e-09, 5.37672625507263e-10
0.324453115, 2.37710938983978e-09, 5.37704591095913e-10
0.328359365, 2.36932442532756e-09, 5.87335244864376e-10
0.332265615, 2.20371970162018e-09, 5.41585185183505e-10
0.336171865, 2.12971089801964e-09, 4.36913568038451e-10
0.340078115, 2.10344058172271e-09, 4.86041564405841e-10
0.343984365, 1.87568066610169e-09, 4.11507774731666e-10
0.347890615, 1.74751998591108e-09, 2.35694930355413e-10
0.351796865, 1.88326340216269e-09, 2.1315042096222e-10
0.355703115, 2.03487305570924e-09, 2.21371220193197e-10
0.359609365, 2.20998945131611e-09, 3.59494839968736e-10
0.363515615, 2.27789614072771e-09, 7.24647600822004e-10
0.367421865, 2.20381969029296e-09, 8.15657339211218e-10
0.371328115, 2.19141118173554e-09, 5.69876670621686e-10
0.375234365, 2.20470586832174e-09, 4.77705234655407e-10
0.379140615, 2.06634955563492e-09, 6.0902886006997e-10
0.383046865, 2.07695715865892e-09, 7.38457314533949e-10
0.386953115, 2.14700976063939e-09, 7.4322593039849e-10
0.39281249, 2.18849303116097e-09, 6.55186057101006e-10
0.40062499, 2.47958862139982e-09, 1.17791099597668e-09
0.40843749, 1.96432519201117e-09, 9.74713335527717e-10
0.41624999, 1.78227241070348e-09, 8.18300630300889e-10
0.42406249, 1.68543778670233e-09, 6.55809607871134e-10
0.43187499, 1.79203977899923e-09, 5.20610780564222e-10
0.43968749, 1.69355924900723e-09, 7.1290932118737e-10
0.44749999, 1.56331614326688e-09, 7.54919283293838e-10
0.45531249, 1.66161579066436e-09, 7.53237497647332e-10
0.46312499, 1.39811992011767e-09, 3.19845955825867e-10
0.47093749, 1.46221119005508e-09, 3.9204150882274e-10
0.47874999, 1.29501195211587e-09, 4.93347212426944e-10
0.48656249, 1.2859945867092e-09, 4.99060927203113e-10
0.49437499, 1.13627719074201e-09, 3.86101724017451e-10
0.50218749, 1.02964483833092e-09, 3.57085884393754e-10
0.50999999, 9.57001881482575e-10, 3.47030911784363e-10
0.51781249, 9.42100263016389e-10, 4.25767643970674e-10
0.52562499, 9.13643956731686e-10, 4.78640422915982e-10
0.53343749, 9.12006432364808e-10, 4.13828470755539e-10
0.54124999, 1.06665287830113e-09, 6.19174839223089e-10
0.54906249, 1.00459641117831e-09, 5.67816374074988e-10
0.55687499, 1.14797731110852e-09, 6.60684346534865e-10
0.56468749, 1.12850597845037e-09, 6.45009542679601e-10
0.57249999, 9.40974022531078e-10, 3.86759398479385e-10
0.58031249, 8.87027366193393e-10, 3.2980229190891e-10
0.58812499, 9.17793873838133e-10, 4.78275051610142e-10
0.59593749, 9.0445322188812e-10, 5.16273109055386e-10
0.60374999, 8.70713869212737e-10, 5.28240089140965e-10
0.61156249, 7.97888036207176e-10, 3.73550704381667e-10
0.61937499, 8.71122394300038e-10, 4.47426385761889e-10
0.62718749, 8.02192343356454e-10, 4.12619288991073e-10
0.63499999, 7.8575785382143e-10, 3.57791888597536e-10
0.64281249, 7.10599478942145e-10, 3.15664881445786e-10
0.65062499, 7.77070630441543e-10, 2.81180256500458e-10
0.65843749, 8.10099565809104e-10, 3.46936475353686e-10
0.66624999, 7.48035527989626e-10, 3.27132595130217e-10
0.67406249, 7.29859755445404e-10, 2.26278418132244e-10
0.68187499, 8.60208376018522e-10, 3.50076629634764e-10
0.68968749, 9.74148596667221e-10, 4.67731623656443e-10
0.69749999, 8.79533704297848e-10, 3.96047654428372e-10
0.70531249, 1.02259038497279e-09, 4.72165356483254e-10
0.71312499, 8.12832730051519e-10, 3.26515694164344e-10
0.72093749, 8.37127469276299e-10, 3.10453833314058e-10
0.72874999, 7.95609182420196e-10, 1.92980670138094e-10
0.73656249, 8.17100018285858e-10, 2.95162327331728e-10
0.74437499, 8.92450075581802e-10, 3.6042503986444e-10
0.75218749, 8.50000661836948e-10, 4.15849552099758e-10
0.75999999, 7.81574189153472e-10, 3.67700371648229e-10
0.76781249, 7.6075086893424e-10, 3.24559782648047e-10
0.77562499, 8.35677612790246e-10, 2.92299912821249e-10
0.785390615, 7.9900816541023e-10, 2.48533247990777e-10
0.797109365, 8.08190618163574e-10, 2.99819186941014e-10
0.808828115, 6.83480489010302e-10, 2.86677357499582e-10
0.820546865, 6.88837929656982e-10, 2.75410124647407e-10
0.832265615, 6.48403618240771e-10, 1.97194743208264e-10
0.843984365, 6.09545097335496e-10, 1.73018769010984e-10
0.855703115, 5.10242963814214e-10, 1.32329710143174e-10
0.867421865, 4.65234043916365e-10, 1.6846245453718e-10
0.879140615, 4.78976021265282e-10, 1.63875387548612e-10
0.890859365, 4.24978116171327e-10, 1.23981034938857e-10
0.902578115, 4.60554947281754e-10, 1.55856892774221e-10
0.914296865, 4.39898367456303e-10, 1.51984461828789e-10
0.926015615, 4.39649828251723e-10, 1.44227580218023e-10
0.937734365, 4.24665794149426e-10, 1.2444278469012e-10
0.949453115, 4.07051372469739e-10, 1.05265326559612e-10
0.961171865, 3.70693463793935e-10, 9.0542576357322e-11
0.972890615, 3.56736692599291e-10, 1.14332635398981e-10
0.984609365, 3.63507823747755e-10, 9.93769939230466e-11
0.9963281175, 3.46908887609311e-10, 1.09797304632687e-10
1.00804685, 3.55123943663661e-10, 7.6090531257258e-11
1.0197656, 4.03910635372065e-10, 1.54624071059259e-10
1.03148435, 4.17485459188281e-10, 1.74748826809951e-10
1.0432031, 3.5986950017471e-10, 1.30216915244053e-10
1.05492185, 3.66987171782101e-10, 1.43047373955974e-10
1.0666406, 3.69885429958701e-10, 9.09199728803487e-11
1.07835935, 3.26608040016382e-10, 7.82485728088875e-11
1.0900781, 3.25781662780979e-10, 1.19021890130239e-10
1.10179685, 3.09657480772833e-10, 6.10920648065553e-11
1.1135156, 3.46546963950184e-10, 1.41821342716843e-10
1.12523435, 3.12941769489553e-10, 1.08654090127164e-10
1.1369531, 3.20827880897264e-10, 8.64075642204702e-11
1.14867185, 3.10367857941555e-10, 7.2515812488152e-11
1.1603906, 3.75190899488286e-10, 1.17572036006682e-10
1.17406248, 3.61382715572426e-10, 1.120192921628e-10
1.18968748, 3.43645421578966e-10, 4.5370644737253e-11
1.20531248, 3.20008605758087e-10, 7.10338480548862e-11
1.22093748, 3.2309578893682e-10, 7.10826646852999e-11
1.23656248, 3.18691464588857e-10, 9.52346335709042e-11
1.25218748, 3.5076965548391e-10, 1.14673684082658e-10
1.26781248, 3.46174247599273e-10, 1.02825726693554e-10
1.28343748, 3.41550521866997e-10, 1.1372368796195e-10
1.29906248, 3.75562493952472e-10, 1.19297228634368e-10
1.31468748, 3.4436815421043e-10, 7.0077657466493e-11
1.33031248, 3.58459148301295e-10, 5.49513560583496e-11
1.34593748, 3.54731187455344e-10, 9.53090389846834e-11
1.36156248, 4.44748075639788e-10, 9.12290905322491e-11
1.37718748, 4.00219188891197e-10, 1.15044491794185e-10
1.39281248, 3.90022433517368e-10, 8.44086125485689e-11
1.40843748, 4.34496604213925e-10, 1.05379751976236e-10
1.42406248, 3.89794007246621e-10, 7.88785987174805e-11
1.43968748, 4.43785182538243e-10, 8.26092880868322e-11
1.45531248, 5.24664919425302e-10, 1.03986585488426e-10
1.47093748, 5.22619116051436e-10, 9.70734468166288e-11
1.48656248, 5.47552505447051e-10, 1.94015436969714e-10
